Month,Sales,Sales first difference,Sales Seasonal difference,forecast
1964-01-01,2815.0,,,
1964-02-01,2672.0,-143.0,,
1964-03-01,2755.0,83.0,,
1964-04-01,2721.0,-34.0,,
1964-05-01,2946.0,225.0,,
1964-06-01,3036.0,90.0,,
1964-07-01,2282.0,-754.0,,
1964-08-01,2212.0,-70.0,,
1964-09-01,2922.0,710.0,,
1964-10-01,4301.0,1379.0,,
1964-11-01,5764.0,1463.0,,
1964-12-01,7312.0,1548.0,,
1965-01-01,2541.0,-4771.0,-274.0,
1965-02-01,2475.0,-66.0,-197.0,
1965-03-01,3031.0,556.0,276.0,
1965-04-01,3266.0,235.0,545.0,
1965-05-01,3776.0,510.0,830.0,
1965-06-01,3230.0,-546.0,194.0,
1965-07-01,3028.0,-202.0,746.0,
1965-08-01,1759.0,-1269.0,-453.0,
1965-09-01,3595.0,1836.0,673.0,
1965-10-01,4474.0,879.0,173.0,
1965-11-01,6838.0,2364.0,1074.0,
1965-12-01,8357.0,1519.0,1045.0,
1966-01-01,3113.0,-5244.0,572.0,
1966-02-01,3006.0,-107.0,531.0,
1966-03-01,4047.0,1041.0,1016.0,
1966-04-01,3523.0,-524.0,257.0,
1966-05-01,3937.0,414.0,161.0,
1966-06-01,3986.0,49.0,756.0,
1966-07-01,3260.0,-726.0,232.0,
1966-08-01,1573.0,-1687.0,-186.0,
1966-09-01,3528.0,1955.0,-67.0,
1966-10-01,5211.0,1683.0,737.0,
1966-11-01,7614.0,2403.0,776.0,
1966-12-01,9254.0,1640.0,897.0,
1967-01-01,5375.0,-3879.0,2262.0,
1967-02-01,3088.0,-2287.0,82.0,
1967-03-01,3718.0,630.0,-329.0,
1967-04-01,4514.0,796.0,991.0,
1967-05-01,4520.0,6.0,583.0,
1967-06-01,4539.0,19.0,553.0,
1967-07-01,3663.0,-876.0,403.0,
1967-08-01,1643.0,-2020.0,70.0,
1967-09-01,4739.0,3096.0,1211.0,
1967-10-01,5428.0,689.0,217.0,
1967-11-01,8314.0,2886.0,700.0,
1967-12-01,10651.0,2337.0,1397.0,
1968-01-01,3633.0,-7018.0,-1742.0,
1968-02-01,4292.0,659.0,1204.0,
1968-03-01,4154.0,-138.0,436.0,
1968-04-01,4121.0,-33.0,-393.0,
1968-05-01,4647.0,526.0,127.0,
1968-06-01,4753.0,106.0,214.0,
1968-07-01,3965.0,-788.0,302.0,
1968-08-01,1723.0,-2242.0,80.0,
1968-09-01,5048.0,3325.0,309.0,
1968-10-01,6922.0,1874.0,1494.0,
1968-11-01,9858.0,2936.0,1544.0,
1968-12-01,11331.0,1473.0,680.0,
1969-01-01,4016.0,-7315.0,383.0,
1969-02-01,3957.0,-59.0,-335.0,
1969-03-01,4510.0,553.0,356.0,
1969-04-01,4276.0,-234.0,155.0,
1969-05-01,4968.0,692.0,321.0,
1969-06-01,4677.0,-291.0,-76.0,
1969-07-01,3523.0,-1154.0,-442.0,
1969-08-01,1821.0,-1702.0,98.0,
1969-09-01,5222.0,3401.0,174.0,
1969-10-01,6872.0,1650.0,-50.0,
1969-11-01,10803.0,3931.0,945.0,
1969-12-01,13916.0,3113.0,2585.0,
1970-01-01,2639.0,-11277.0,-1377.0,
1970-02-01,2899.0,260.0,-1058.0,
1970-03-01,3370.0,471.0,-1140.0,
1970-04-01,3740.0,370.0,-536.0,
1970-05-01,2927.0,-813.0,-2041.0,
1970-06-01,3986.0,1059.0,-691.0,
1970-07-01,4217.0,231.0,694.0,
1970-08-01,1738.0,-2479.0,-83.0,
1970-09-01,5221.0,3483.0,-1.0,
1970-10-01,6424.0,1203.0,-448.0,
1970-11-01,9842.0,3418.0,-961.0,
1970-12-01,13076.0,3234.0,-840.0,
1971-01-01,3934.0,-9142.0,1295.0,
1971-02-01,3162.0,-772.0,263.0,
1971-03-01,4286.0,1124.0,916.0,
1971-04-01,4676.0,390.0,936.0,
1971-05-01,5010.0,334.0,2083.0,
1971-06-01,4874.0,-136.0,888.0,
1971-07-01,4633.0,-241.0,416.0,4437.326042598418
1971-08-01,1659.0,-2974.0,-79.0,2050.7480396200513
1971-09-01,5951.0,4292.0,730.0,5493.376958408391
1971-10-01,6981.0,1030.0,557.0,6752.038556203695
1971-11-01,9851.0,2870.0,9.0,10327.296733056277
1971-12-01,12670.0,2819.0,-406.0,13632.323840449182
1972-01-01,4348.0,-8322.0,414.0,3832.9622746295954
1972-02-01,3564.0,-784.0,402.0,3313.097413184012
1972-03-01,4577.0,1013.0,291.0,4285.476882558353
1972-04-01,4788.0,211.0,112.0,4701.093470784868
1972-05-01,4618.0,-170.0,-392.0,4717.512504706392
1972-06-01,5312.0,694.0,438.0,4906.404892810702
1972-07-01,4298.0,-1014.0,-335.0,4685.438006928101
1972-08-01,1413.0,-2885.0,-246.0,2232.4092986690293
1972-09-01,5877.0,4464.0,-74.0,
